STORE_ID,STORE_NAME,PROD_NAME,PROD_DESCRIPTION,PROD_BRAND,PROD_IMAGE_URL,PROD_CATEGORY,PROD_PRICE,PROD_RATINGS,PROD_REVIEWS,PROD_POPULARITY,PROD_LINK
303,VITALIA GmbH,Rabenhorst 11+11 Obst & Gemüse 750 ml,"Genießen Sie diese aromatisch-fruchtige Komposition aus dem Direktsaft bzw. dem Mark von elf harmonisch aufeinander abgestimmten Obst- und Gemüsesorten. Sie tun sich etwas Gutes mit 11 plus 11 Obst & Gemüse von Rabenhorst und leisten so einen wichtigen Beitrag zur täglichen Versorgung mit lebenswichtigen Vitaminen. Für unsere Rabenhorst-Säfte werden unter strengsten Kriterien nur die besten Rohstoffe mit größter Sorgfalt und mit jedem nur denkbaren Aufwand verarbeitet. So ist es selbstverständlich, dass wir ausschließlich Direktsäfte und keine Konzentrate verwenden. Die Rohwaren werden bei der Eingangskontrolle auf fruchttypische Eigenschaften wie Reifegrad, Farbe, Geschmack und Aroma untersucht. Nach der Eingangskontrolle erfolgt die schonende Verarbeitung der Rohstoffe. Um den frisch gepressten Saft haltbar zu machen, bedienen wir uns eines speziellen Pasteurisationsverfahrens, bei dem die schonende Erhitzung bei möglichst geringen Temperaturen (80 - 90 Grad) das Vergären des Saftes unterbunden wird. Durch die besondere Fülltechnik wird die Hitzeeinwirkung auf und der Sauerstoffeingang in das Produkt so gering wie möglich gehalten. Farbe, Geschmack und Geruch, sowie die wertvollen Vitamine, Mineralstoffe und Spurenelemente, bleiben so weitestgehend erhalten. Der Saft wird in unseren eigenen und umweltfreundlichen 750 ml-Mehrweg-Glasflaschen abgefüllt.",Haus Rabenhorst O. Lauffs,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4004191005659_rabenhorst_11plus11_obst-gemuese_750ml_1.jpg,"Mehrfruchtsaft, Getränke","3,69 €",,,,https://www.vitalia-reformhaus.de/rabenhorst-11-11-obst-gemuese-750-ml.html
303,VITALIA GmbH,Rabenhorst 11+11 Gelber Multi-Vitamin-Saft  750 ml,"Genießen Sie diese aromatisch-fruchtige Komposition aus dem Direktsaft bzw. dem Mark von elf harmonisch aufeinander abgestimmten Früchten. Sie tun sich etwas Gutes mit 11 plus 11 von Rabenhorst und leisten so einen wichtigen Beitrag zur täglichen Versorgung mit lebenswichtigen Nährstoffen. Unser Multi-Vitamin-Saft wird ohne Zuckerzusatz und ausschließlich aus Direktsaft und -mark hergestellt. Er verbindet gesunde Ernährung und Genuss pur. Für unsere Rabenhorst-Säfte werden unter strengsten Kriterien nur die besten Rohstoffe mit größter Sorgfalt und mit jedem nur denkbaren Aufwand verarbeitet. So ist es selbstverständlich, dass wir ausschließlich Direktsäfte und keine Konzentrate verwenden. Die Rohwaren werden bei der Eingangskontrolle auf fruchttypische Eigenschaften wie Reifegrad, Farbe, Geschmack und Aroma untersucht. Nach der Eingangskontrolle erfolgt die schonende Verarbeitung der Rohstoffe. Um den frisch gepressten Saft haltbar zu machen, bedienen wir uns eines speziellen Pasteurisationsverfahrens, bei dem die schonende Erhitzung bei möglichst geringen Temperaturen (80 - 90 Grad) das Vergären des Saftes unterbunden wird. Durch die besondere Fülltechnik wird die Hitzeeinwirkung auf und der Sauerstoffeingang in das Produkt so gering wie möglich gehalten. Farbe, Geschmack und Geruch, sowie die wertvollen Vitamine, Mineralstoffe und Spurenelemente, bleiben so weitestgehend erhalten. Der Saft wird in unseren eigenen und umweltfreundlichen 750 ml-Mehrweg-Glasflaschen abgefüllt.",Haus Rabenhorst O. Lauffs,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4004191005420_rabenhorst_11plus11_gelber_multi-vitamin-saft_750ml_1.jpg,"Mehrfruchtsaft, Getränke","3,69 €",,,,https://www.vitalia-reformhaus.de/rabenhorst-11-11-gelber-multi-vitamin-saft-750-ml.html
303,VITALIA GmbH,Schoenenberger FasToFit Tomaten-Saft gewürzt 750 ml,Lycopin ist das für eine gesunde Ernährung wichtigste Carotinoid der Tomate.Kupfer trägt zu einem normalen Energiestoffwechsel bei. FasToFit ist gleichzeitig Mixbasis für den Pflanzensaft-Cocktail der Schoenenberger Schlankheitskur „Der Klassiker“.,Walther Schoenenberger GmbH &amp; Co. KG,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4006309020066_schoenenberger_fastofit_gewuerzter_tomatensaft_750ml_1.png,"Mehrfruchtsaft, Getränke","5,20 €",,,,https://www.vitalia-reformhaus.de/schoenenberger-bio-fastofit-tomaten-saft-gewuerzt-750-ml.html
303,VITALIA GmbH,Schoenenberger Tomaten-Saft 330 ml,Schoenenberger Tomaten-Saft enthält den Saft und das Fruchtfleisch vollreifer Tomaten. * Kupfer trägt zu einem normalen Energiestoffwechsel bei.,Walther Schoenenberger GmbH &amp; Co. KG,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4006309020110_schoenenberger_tomaten_saft_330ml_1.jpg,"Mehrfruchtsaft, Getränke","2,50 €",,,,https://www.vitalia-reformhaus.de/schoenenberger-bio-tomaten-saft-330-ml.html
303,VITALIA GmbH,Schoenenberger Apfel-Ingwer-Mix 750 ml,"Fein gewürzter Bio-Apfelsaft mit aromatisch scharfer Note ideal zum Mischen mit Schoenenberger® Frischpflanzensäften und als Mixbasis für den Pflanzensaft-Cocktail der Schoenenberger® Schlankheits-Kur „5 Elemente.“ Erntefrische Äpfel werden für dieses Premiumprodukt direkt zu einem erfrischenden Saft verarbeitet. Das natürliche Fruchtfleisch trägt zum vollmundigen Geschmack bei. Ingwer wird seit Jahrtausenden in der asiatischen Küche geschätzt und ist aromatischer Bestandteil der Ernährung nach den 5 Elementen. Er verleiht dieser Saftkomposition die angenehm scharfe Note. Die Schoenenberger® Qualitätsgarantie:Diese Saftmischung ist ein Premiumprodukt, das ausschließlich aus Bio-Rohstoffen erzeugt wird.",Walther Schoenenberger GmbH &amp; Co. KG,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4006309306849_schoenenberger_apfel-ingwer-mix_750ml_neu_1.png,"Mehrfruchtsaft, Getränke","5,20 €",,,,https://www.vitalia-reformhaus.de/schoenenberger-bio-apfel-ingwer-mix-750-ml.html
303,VITALIA GmbH,Schoenenberger TopVital Möhre-Mango Saft 750 ml,"Unvergleichlich köstlicher Saftgenuss aus sorgfältig ausgewählten Früchten, Topinambur und aromatischen Möhren. Mango und Banane geben dem Getränk ein vollmundig exotisches Aroma.Der milchsauer vergorene Möhrensaft ist reich an natürlichem fruchteigenem Pro-Vitamin A. Die Schoenenberger® Qualitätsgarantie: Diese Saftmischung ist ein Premiumprodukt, das ausschließlich aus Bio-Rohstoffen erzeugt wird. Langjährige Erfahrung, eigene und neutrale Kontrollen garantieren das hohe Qualitätsniveau. Ideal zum Mischen mit Schoenenberger® Heilpflanzensäften und als Mixbasis für den Pflanzensaft-Cocktail der Schoenenberger® Schlankheits-Kur „Fruchtig“.",Walther Schoenenberger GmbH &amp; Co. KG,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4006309020035_schoenenberger_topvital_moehre-mango_saft_750ml_1.jpg,"Mehrfruchtsaft, Getränke","5,20 €",,,,https://www.vitalia-reformhaus.de/schoenenberger-bio-topvital-moehre-mango-750-ml.html
303,VITALIA GmbH,Eden Bio Direkt Saft Karotten-Most 750 ml,"EDEN Karotten Most ist ein basenüberschüssiger, kochsalzarmer Presssaft aus erntefrischen, deutschen NATURLAND Möhren, der milchsauer vergoren wird. Trinken Sie täglich ein kleines Glas (100 ml). Achten Sie zudem auf eine abwechslungsreiche und ausgewogene Ernährung sowie auf eine gesunde Lebensweise.",Hügli Nahrungsmittel GmbH,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4061298298469_eden_drekt-saft-karotten-most_750ml.jpg,"Muttersaft, Getränke","3,99 €",,,,https://www.vitalia-reformhaus.de/eden-bio-direkt-saft-karotten-most-750-ml.html
303,VITALIA GmbH,Eden Bio Direkt Saft Rote Bete-Most 750 ml,"EDEN my veggie paradise - Rote-Bete-Most ist ein basenüberschüssiger, kochsalzarmer Presssaft aus erntefrischer, deutscher NATURLAND Rote Bete. Trinken Sie täglich ein Glas (200ml). Damit decken Sie 40% Ihres Tagesbedarfs an Folsäure. Achten Sie zudem auf eine abwechslungsreiche und ausgewogene Ernährung sowie auf eine gesunde Lebensweise.",Hügli Nahrungsmittel GmbH,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4061298298452_eden_direkt-saft-rote-bete-most_750ml.jpg,"Muttersaft, Getränke","3,99 €",,,,https://www.vitalia-reformhaus.de/eden-bio-direkt-saft-rote-bete-most-750-ml.html
303,VITALIA GmbH,Voelkel Sirup Holunderblüten 500 ml,"Natürliche Zutaten aus kontrolliert biologischem Anbau. Schmeckt köstlich 1:7 mit frischem, kaltem Wasser verdünnt oder aufgesprudelt, als fruchtige Süße zu Obstsalat, Joghurt und Eis. Für Kuchen und Cocktails bieten sich viele kreative Möglichkeiten.",Voelkel GmbH,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4015533014147_voelkel_bio-holunderblueten-sirup_500ml.jpg,"Muttersaft, Getränke","5,79 €",,,,https://www.vitalia-reformhaus.de/voelkel-sirup-holunderbluten-500-ml.html
303,VITALIA GmbH,Eden Direkt Saft Sauerkrautsaft 750 ml,"EDEN my veggie paradise Sauerkrautsaft ist ein kalorienarmer Presssaft aus milchsauer vergorenem, deutschem NATURLAND Weißkohl. Er wird aus EDEN Frischkost-Sauerkraut gewonnen, hat einen angenehm milden Geschmack und ist mit einer Prise Meersalz abgerundet.",Heirler Cenovis GmbH,https://www.vitalia-reformhaus.de/media/catalog/product/cache/602fb115d7abc06e46e7d72b36efad3f/4/0/4061298298438_eden_direkt-saft-sauerkraut-mit-meersalz_750ml.jpg,"Muttersaft, Getränke","3,79 €",,,,https://www.vitalia-reformhaus.de/eden-direkt-saft-sauerkrautsaft-750-ml.html
